DATE,CBBTCUSD,SP500,VIXCLS
20/09/2018,6493.11,2574.41,20.47
21/09/2018,6750,2584.96,19.98
22/09/2018,6707.33,2596.64,19.5
23/09/2018,6696.99,2596.26,18.19
24/09/2018,6582.09,2582.61,19.07
25/09/2018,6436.89,2610.3,18.6
26/09/2018,6455.66,2616.1,19.04
27/09/2018,6680.01,2635.96,18.06
28/09/2018,6620.01,2670.71,17.8
29/09/2018,6581,.,.
30/09/2018,6605,2632.9,20.8
01/10/2018,6572.83,2638.7,19.52
02/10/2018,6498.46,2642.33,18.89
03/10/2018,6466.03,2664.76,17.42
04/10/2018,6547.45,2643.85,18.87
05/10/2018,6593.94,2640,19.13
06/10/2018,6552.43,2681.05,17.66
07/10/2018,6570,2704.1,16.57
08/10/2018,6608.07,2706.53,16.14
09/10/2018,6589.48,2724.87,15.73
10/10/2018,6524.56,2737.7,15.57
11/10/2018,6154.69,2731.61,15.38
12/10/2018,6188.01,2706.05,16.37
13/10/2018,6196,2707.88,15.72
14/10/2018,6183.49,2709.8,15.97
15/10/2018,6440.42,2744.73,15.43
16/10/2018,6457.11,2753.03,15.65
17/10/2018,6443.7,2745.73,16.22
18/10/2018,6394.96,2775.6,14.91
19/10/2018,6382.99,.,.
20/10/2018,6414,2779.76,14.88
21/10/2018,6415.88,2784.7,14.02
22/10/2018,6407.65,2774.88,14.46
23/10/2018,6395.14,2792.67,13.51
24/10/2018,6415.98,2796.11,14.85
25/10/2018,6395.58,2793.9,15.17
26/10/2018,6404.87,2792.38,14.7
27/10/2018,6409.12,2784.49,14.7
28/10/2018,6403.62,2803.69,13.57
29/10/2018,6266,2792.81,14.63
30/10/2018,6267.63,2789.65,14.74
31/10/2018,6304.18,2771.45,15.74
01/11/2018,6344,2748.93,16.59
02/11/2018,6349.8,2743.07,16.05
03/11/2018,6331.96,2783.3,14.33
04/11/2018,6423.28,2791.52,13.77
05/11/2018,6404,2810.92,13.41
06/11/2018,6448.5,2808.48,13.5
07/11/2018,6503.12,2822.48,12.88
08/11/2018,6406.24,2832.94,13.1
09/11/2018,6334.89,2832.57,13.56
10/11/2018,6347.42,2824.23,13.91
11/11/2018,6357.6,2854.88,13.63
12/11/2018,6327.87,2800.71,16.48
13/11/2018,6259.34,2798.36,16.33
14/11/2018,5605.46,2818.46,14.68
15/11/2018,5579.52,2805.37,15.15
16/11/2018,5512.24,2815.44,14.43
17/11/2018,5504.17,2834.4,13.71
18/11/2018,5560,2867.19,13.4
19/11/2018,4733.5,2867.24,13.36
20/11/2018,4349.23,2873.4,13.74
21/11/2018,4545.11,2879.39,13.58
22/11/2018,4265.36,2892.74,12.82
23/11/2018,4283.8,2895.77,13.18
24/11/2018,3774.99,2878.2,14.28
