Date,open,high,low,close,volume 
28/05/2013,133.6799927,135.5700073,132.8000031,133.4900055,12466400
29/05/2013,134.0899963,134.9100037,133.6399994,134.8300018,8762200
30/05/2013,136.6699982,137.1100006,136.2599945,136.6999969,8611700
31/05/2013,135.7100067,136.0500031,133.8899994,133.9199982,9726600
03/06/2013,134.7700043,136.9799957,134.4299927,136.5099945,9173000
04/06/2013,135.2100067,135.4400024,134.2700043,135.2299957,5505200
05/06/2013,135.4700012,136.3699951,135.0099945,135.5200043,7444900
06/06/2013,135.3899994,137.6199951,134.9799957,136.5299988,9847700
07/06/2013,134.1100006,134.6199951,133.1799927,133.2799988,11054400
10/06/2013,133.3000031,134.2799988,132.9900055,133.9400024,6142800
11/06/2013,132.3099976,133.5099945,132.2400055,133.25,7199300
12/06/2013,132.9499969,134.8300018,132.8300018,134.25,6550600
13/06/2013,133.3099976,134.1999969,132.8200073,133.7400055,7161800
14/06/2013,134,134.6000061,133.8800049,134.4299927,4278700
17/06/2013,133.8899994,134.0599976,133.5200043,133.7700043,4072300
18/06/2013,132.7200012,132.9600067,131.5299988,132.1300049,7379300
19/06/2013,132.5800018,133.1499939,130.3800049,130.5899963,13017800
20/06/2013,125.2200012,126.3799973,123.3300018,123.5999985,28872100
21/06/2013,125.1600037,125.5699997,124.4599991,125.0500031,16600000
24/06/2013,124.3099976,124.6999969,123.3099976,123.9300003,12749300
25/06/2013,123.6500015,123.9000015,122.8799973,123.4700012,9369200
26/06/2013,119.8799973,119.9000015,118.0599976,118.2799988,24748800
27/06/2013,119.0999985,119.5100021,115.6500015,115.9400024,30001900
28/06/2013,115.2200012,119.3300018,114.6800003,119.1100006,32981900
01/07/2013,119.9400024,121.9499969,119.3799973,121.1299973,15945200
02/07/2013,121.3399963,121.4700012,119.7799988,120.0500031,10550300
03/07/2013,120.6999969,121.7699966,120.5400009,120.7399979,6750300
05/07/2013,118.0800018,118.1800003,116.7399979,118.0899963,11592500
08/07/2013,119.0899963,119.6600037,118.9300003,119.5100021,8652200
09/07/2013,120.8399963,121.5100021,120.0500031,120.6200027,8201400
10/07/2013,121.1500015,122.3499985,120.5899963,120.9499969,14697100
11/07/2013,124.2600021,124.3600006,123.4700012,124.2399979,11279400
12/07/2013,123.5199966,124.3000031,123.3199997,124.1299973,6583800
